Time,Latitude,Longitude,Instant_Fuel_Consumption,Coolant_Temp,Engine_RPM,Speed,Gear,Acceleration,Acceleration_Sign,Distance,Fuel_Consumed_Liters,Lap_Number
0.0,41.571858,2.26326794,6.6,81.48,12550.84,187.28,5,0.2333220070223127,Positive,0.0,0.0,1
0.010000000000047748,41.5718545,2.263263535,6.6,81.47,12556.26,187.42,5,0.2367199003284629,Positive,0.0005206111111135968,3.436033333349739e-05,1
0.020000000000038654,41.571850999999995,2.26325913,6.6,81.46,12561.68,187.56,5,0.2401177936346131,Positive,0.001041611111113123,6.874633333346612e-05,1
0.03000000000002956,41.5718475,2.263254725,6.6,81.45,12567.1,187.7,5,0.24351568694076325,Positive,0.0015630000000015376,0.00010315800000010149,1
0.040000000000020464,41.571844,2.26325032,6.6,81.44,12572.52,187.84,5,0.24691358024691346,Positive,0.002084777777778841,0.00013759533333340348,1
0.05000000000001137,41.5718405,2.2632459149999997,6.6,81.43,12577.94,187.98,5,0.25031147355306366,Positive,0.0026069444444450324,0.00017205833333337213,1
0.060000000000002274,41.571837,2.26324151,6.6,81.42,12583.36,188.12,5,0.2537093668592138,Positive,0.0031295000000001127,0.00020654700000000744,1
0.07000000000005002,41.5718335,2.263237105,6.6,81.41,12588.78,188.26,5,0.257107260165364,Positive,0.0036524444444470537,0.00024106133333350556,1
0.08000000000004093,41.57183,2.2632327,6.6,81.4,12594.2,188.4,5,0.2605051534715142,Positive,0.004175777777779912,0.00027560133333347415,1
0.09000000000003183,41.5718265,2.263228295,6.6,81.39,12599.62,188.54,5,0.26390304677766435,Positive,0.004699500000001658,0.00031016700000010937,1
0.10000000000002274,41.571822999999995,2.26322389,6.6,81.38,12605.04,188.68,5,0.26730094008381455,Positive,0.0052236111111122925,0.00034475833333341124,1
0.11000000000001364,41.5718195,2.263219485,6.6,81.37,12610.46,188.82,5,0.27069883338996475,Positive,0.005748111111111815,0.00037937533333337977,1
0.12000000000000455,41.571816,2.2632150799999997,6.6,81.36,12615.88,188.96,5,0.2740967266961149,Positive,0.006273000000000227,0.0004140180000000149,1
0.1300000000000523,41.5718125,2.263210675,6.6,81.35,12621.3,189.1,5,0.2774946200022651,Positive,0.006798277777780513,0.0004486863333335138,1
0.1400000000000432,41.571809,2.26320627,6.6,81.34,12626.72,189.24,5,0.2808925133084153,Positive,0.0073239444444467006,0.00048338033333348223,1
0.1500000000000341,41.571805499999996,2.263201865,6.6,81.33,12632.14,189.38,5,0.28429040661456545,Positive,0.007850000000001777,0.0005181000000001173,1
0.160000000000025,41.571802,2.2631974599999998,6.6,81.32,12637.56,189.52,5,0.28768829992071565,Positive,0.008376444444445744,0.000552845333333419,1
0.17000000000001592,41.5717985,2.263193055,6.6,81.31,12642.98,189.66,5,0.2910861932268658,Positive,0.008903277777778598,0.0005876163333333874,1
0.18000000000000682,41.571794999999995,2.26318865,6.6,81.3,12648.4,189.8,5,0.294484086533016,Positive,0.009430500000000341,0.0006224130000000224,1
0.18999999999999773,41.571791499999996,2.2631842449999997,6.6,81.29,12653.82,189.94,5,0.2978819798391662,Positive,0.009958111111110973,0.000657235333333324,1
0.20000000000004547,41.571788,2.26317984,6.6,81.28,12659.24,190.08,5,0.30127987314531635,Positive,0.010486111111113494,0.0006920833333334904,1
0.21000000000003638,41.5717845,2.263175435,6.6,81.27,12664.66,190.22,5,0.30467776645146655,Positive,0.011014500000001903,0.0007269570000001253,1
0.22000000000002728,41.571781,2.26317103,6.6,81.26,12670.08,190.36,5,0.30807565975761675,Positive,0.0115432777777792,0.0007618563333334269,1
0.2300000000000182,41.571777499999996,2.2631666249999998,6.6,81.25,12675.5,190.5,5,0.31147355306376695,Positive,0.012072444444445385,0.0007967813333333952,1
0.2400000000000091,41.571774,2.26316222,6.6,81.24,12680.92,190.64,5,0.3148714463699171,Positive,0.012602000000000458,0.00083173200000003,1
0.25,41.5717705,2.263157815,6.6,81.23,12686.34,190.78,5,0.3182693396760673,Positive,0.013131944444444422,0.0008667083333333315,1
0.26000000000004775,41.571766999999994,2.2631534099999997,6.6,81.22,12691.76,190.92000000000002,5,0.3216672329822175,Positive,0.013662277777780289,0.0009017103333334986,1
0.27000000000003865,41.571763499999996,2.263149005,6.6,81.21,12697.18,191.06,5,0.32506512628836765,Positive,0.014193000000002027,0.0009367380000001335,1
0.28000000000002956,41.57176,2.2631446,6.6,81.2,12702.6,191.2,5,0.32846301959451785,Positive,0.014724111111112654,0.0009717913333334349,1
0.29000000000002046,41.5717565,2.263140195,6.6,81.19,12708.02,191.34,5,0.33186091290066805,Positive,0.01525561111111217,0.001006870333333403,1
0.30000000000001137,41.571753,2.2631357899999998,6.6,81.18,12713.44,191.48,5,0.3352588062068182,Positive,0.015787500000000575,0.0010419750000000376,1
